wod1,wod2
"5 rounds for time of:
Swim 50 meters
25 push-ups",Compare to 110524.
Rest Day,
"10 rounds for time of:
95-lb. sumo deadlift high pulls, 7 reps
95-lb. front squats, 7 reps
95-lb. push jerks, 7 reps",Post time to comments.
Shoulder press 3-3-3-3-3 reps,Compare to 130731.
"Complete rounds for 20 minutes of:
5 pull-ups
10 push-ups
15 squats
20 pulls on the rower",Score is total calories rowed.
Rest Day,"""Soda group suspends payments to dietitians opposing new tax,"" Chicago Tribune."
Workout 14.1,"Complete as many rounds and reps as possible in 10 minutes of:
30 double-unders
75-lb. power snatches, 15 reps"
"Complete as many rounds as possible in 20 minutes of:
5 clean and jerks
10 toes-to-bars
Rest 30 seconds",Men use 185 lb. Women use 135 lb.
"Complete as many reps as possible in 10 minutes of:
Muscle-ups","Post reps to comments, or complete Team Series Event 6 and log your team score."
Rest Day,"""PepsiCo sued for exaggerating health benefits of Naked Juice,"" Fox News."
"For time:
50 wall-ball shots
50 deadlifts, 185-lb.
50 handstand push-ups","Each time you break a set of wall-ball shots or handstand push-ups, deadlift the barbell and hold it at your waist for 15 seconds before returning to the ball or wall."
"Overhead squat 5-5-5 reps
Snatch balance 3-3-3 reps
Hang squat snatch 1-1-1 reps",Post loads to comments.
"Complete as many rounds as possible in 25 minutes of:
45-lb. thrusters, 25 reps
25 burpees
45-lb. sumo deadlift high pulls, 25 reps",Post rounds completed to comments.
Rest Day,"""Chess vs Poker vs CrossFit,"" by Greg Shahade."
"Complete as many rounds as possible in 25 minutes of:
35-lb. single-arm dumbbell overhead lunges, 25 steps
Row 25 calories
35-lb. weighted sit-ups, 25 reps",Post rounds completed to comments.
"Weighted chest-to-bar pull-up 1-1-1-1-1 reps
Weighted dip 1-1-1-1-1 reps
Run 1 mile for time",Post loads and mile time to comments.
Back squat 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,"""Activity Trackers May Undermine Weight Loss Efforts,"" The New York Times."
Marston,"Complete as many rounds as possible in 20 minutes of:
405-lb. deadlift, 1 rep
10 toes-to-bars
15 bar-facing burpees"
"5 rounds for time of:
15 chest-to-bar pull-ups
30 one-legged squats, alternating",Post time to comments.
"Complete as many rounds as possible in 20 minutes of:
100 double-unders
100-ft. walking lunge",Post rounds completed to comments.
Rest Day,"""CrossFit Founder: Why Focusing on Getting Rich Is 'Stupid',"" Inc.com."
Time Priority Diane,"For reps:
60 seconds of deadlifts, 225 lb.
60 seconds of handstand push-ups
45 seconds of deadlifts, 225 lb.
45 seconds of handstand push-ups
30 seconds of deadlifts, 225 lb.
30 seconds of handstand push-ups"
"5 rounds for time of:
3 rope climbs
Run 400 meters","Use a 15-ft. rope, and each round perform one of the 3 climbs without assistance from your legs."
Freestyle Fran,"45 reps of each for time:
95-lb. thrusters
Pull-ups"
Rest Day,"""A Big Tobacco Moment For The Sugar Industry,"" The New Yorker."
Run 10K,Post time to comments.
"For time:
50 muscle-ups",Post time to comments.
Thruster 5-5-5-5-5 reps,Post loads to comments.
Rest Day,"""aRm1"" with Chris Ganley."
Joshie,"3 rounds for time of:
40-lb. dumbbell snatches, 21 reps, right arm
21 L pull-ups
40-lb. dumbbell snatches, 21 reps, left arm
21 L Pull-ups"
"10 80-yard shuttle sprints
Rest as needed between efforts.","For each sprint, run 10 yards out, 10 back, 20 out, 20 back, 10 out, 10 back."
Ring push-up ladder,Rest 5 minutes
Rest Day,"""Relationship between Research Outcomes and Risk of Bias, Study Sponsorship, and Author Financial Conflicts of Interest in Reviews of the Effects of Artificially Sweetened Beverages on Weight Outcomes: A Systematic Review of Reviews,"" PLOS One."
Hang power clean 1-1-1-1-1-1-1 reps,"Post loads to comments, or complete Team Series Event 4 and log your team score there."
"5 minutes of rowing
5 minutes of push presses",There is no rest between exercises.
"For time:
100 double-unders
25 toes-to-bars
25 deadlifts
50 box jump overs","Men use 225 lb. for deadlifts and a 24-in. box.
Women use 155 lb. for deadlifts and a 20-in. box."
Rest Day,"""5 Reasons Why So Many Entrepreneurs Do CrossFit,"" Inc."
"21-15-9 reps for time of:
Bar-facing-burpees
Overhead squats
Chest-to-bar pull-ups","Men use 95 lb., Women use 65 lb."
"4 rounds, each for time of:
800-meter run",Rest as needed between efforts.
Overhead squat 5-5-5-5-5 reps,Post loads to comments.
Rest Day,"""Why You Don't Need 8 Glasses of Water a Day,"" College Humor."
Nickman,"With a 55-lb. and 35-lb. dumbbell, 10 rounds for time of:
200-meter farmers carry with both dumbbells
35-lb. weighted pull-ups, 10 reps
55-lb. dumbbell power snatches, 20 reps, alternating arms"
"4 rounds, each for time, of:
1-mile bike",Rest as needed between efforts. Use a stationary bike or find 1-mile course to repeat each round.
"Complete as many rounds as possible in 10 minutes of:
95-lb. power snatches, 10 reps
10 burpees",Post rounds completed to comments.
Rest Day,"""What is going on at the CDC? Health agency ethics need scrutiny,"" The Hill."
"Row 250 meters
Row 500 meters
Row 1,000 meters
Row 500 meters
Row 250 meters",Rest 1 minute between efforts.
Overhead squat 3-3-3-3-3 reps,Post loads to comments.
"10 rounds for time of:
155-lb. power cleans, 5 reps
10 walking lunges",Post time to comments.
Rest Day,"""Big Soda Spends Millions On 'Unethical' San Francisco Area Ads Fighting Drink Taxes,"" The Huffington Post."
DVB,"For time:
Run 1 mile with a 20-lb. medicine ball
Then, 8 rounds of:
  10 wall-ball shots
  1 rope ascent
Run 800 meters with a 20-lb. medicine ball
Then, 4 rounds of:
  10 wall-ball shots
  1 rope ascent
Run 400 meters with a 20-lb. medicine ball
Then, 2 rounds of:
  10 wall-ball shots
  1 rope ascent"
"For time:
50 box jumps, 24-inch box
25 handstand push-ups
40 box jumps, 24-inch box
20 handstand push-ups
30 box jumps, 24-inch box
15 handstand push-ups
20 box jumps, 24-inch box
10 handstand push-ups
10 box jumps, 24-inch box
5 handstand push-ups",Post time to comments.
Deadlift 3-3-3-3-3 reps,Post loads to comments.
Rest Day,"""Senior-Care Business Booms for Franchisers,"" The Wall Street Journal."
"From 0:00-3:00, perform 3 rounds of:
    3 pull-ups
    6 push-ups
    9 squats
From 3:00-6:00, perform 3 rounds of:
    4 pull-ups
    8 push-ups
    12 squats
From 6:00-9:00, perform 3 rounds of:
    5 pull-ups
    10 push-ups
    15 squats
From 9:00-12:00, perform 3 rounds of:
    6 pull-ups
    12 push-ups
    18 squats",Etc.
"For time:
135-lb. squat cleans, 10 reps
50 GHD sit-ups
135-lb. squat cleans, 8 reps
40 GHD sit-ups
135-lb. squat cleans, 6 reps
30 GHD sit-ups
135-lb. squat cleans, 4 reps
20 GHD sit-ups
135-lb. squat cleans, 2 reps
10 GHD sit-ups",Post time to comments.
"For time:
30 strict muscle-ups",Post time to comments.
Rest Day,"""Rio 2016: how British athletes are challenging the Olympic tradition of junk food peddling,"" Vox."
"5 rounds, each for time, of:
Run 800 meters
Rest 3 minutes",Post time for each interval to comments.
"10 rounds for time of:
3 deadlifts
1 back tuck",Post time and loads to comments.
"21-18-15-12-9-6-3 reps for time of:
35-lb. dumbbell burpee / hang squat clean / thrusters
Pull-ups","The ""dumbbell burpee / hang squat clean / thrusters"" is a burpee with dumbbells followed by a hang squat clean and then a thruster."
Rest Day,"""An Italian lawmaker wants to make it a crime for parents to feed their kids vegan diets,"" The Washington Post."
Front squat 1-1-1-1-1-1-1-1-1-1 reps,Post loads to comments.
"5 rounds for time of:
155-lb. clean and jerk, 10 reps
15-ft. legless rope climb, 1 ascent",Post time to comments.
Split jerk 3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,"""Olympics are a carnival of junk food marketing, say campaigners,"" The Guardian."
"Make 3 attempts at each of the following:
Max set of single-leg squats on your left leg.
Max set of single-leg squats on your right leg.
Max set of left-arm dumbbell snatches (touch-and-go).
Max set of right-arm dumbbell snatches (touch-and-go).
Max set of strict toes-to-bars.","For the squats, a set ends when your opposite foot touches the ground or you rest excessively at the top. For the snatch, use the heaviest dumbbell that you can find and still get at least 3 reps. Warm up for each and rest as needed between efforts."
"7 rounds for reps of:
1 minute of 75-lb. muscle snatches
1 minute of 75-lb. overhead squats
1 minute of burpees, jumping over the barbell
Rest 1 minute",Post total reps completed to comments.
"TK
Complete as many rounds as possible in 20 minutes of:
8 strict pull-ups
8 box jumps, 36-inch box
12 kettlebell swings, 2 pood",Post rounds completed to comments.
Rest Day,"""Embarrassing fail mid-erection as the landmark Kings Cross Coca-Cola sign is rebuilt,"" News.com.au."
"5 2-minute rounds of:
15-ft. rope climb, 3 ascents
Row for calories",Rest at least 3 minutes between rounds.
"For time:
Run 800 meters
100 push-ups
100-meter bear crawl
Run 800 meters
50 handstand push-ups
50-meter handstand walk
Run 800 meters",Post time to comments.
Deadlift 5-5-5-5-5 reps,Post loads to comments.
Rest Day,"""This Pulsating Slime Mold Comes in Peace (ft. It's Okay to Be Smart),"" Deep Look."
"12-9-6 reps for time of:
165-lb. squat snatches
225-lb. bench presses",Post time to comments.
"10 200-meter sprints
Rest as needed between efforts.",Post best and worst times to comments.
"40-30-20-10 reps for time of:
Toes-to-bars
Wall-ball shots, 20-lb. ball","Rest 5 minutes, then,"
Rest Day,"""CrossFit is leading to a huge revival for a once-disappearing fitness brand,"" Business Insider."
"Nancy
5 rounds for time of:
400-meter run
95-lb. overhead squats, 15 reps",Post time to comments.
"Elizabeth
21-15-9 reps for time of:
135-lb. cleans
Ring dips",Post time to comments.
"Fran
21-15-9 reps for time of:
95-lb. thrusters
pull-ups",Post time to comments.
Rest Day,"""Cutting Sugar Rapidly Improves Heart Health Markers,"" The New York Times."
"For time:
12 ring handstand push-ups
225-lb. back squats, 15 reps
20 burpees
9 ring handstand push-ups
205-lb. front squats, 18 reps
20 burpees
6 ring handstand push-ups
185-lb. overhead squats, 21 reps
20 burpees",Post time to comments.
"Double DT
10 rounds for time of:
12 deadlifts
9 hang power cleans
6 push jerks","Men use 155 lb., women use 105 lb."
Murph,"For time:
1-mile run
100 pull-ups
200 push-ups
300 squats
1-mile run"
Rest Day,"""How the Government Supports Your Junk Food Habit,"" The New York Times."
7-km trail run,Find a route that follows the steepest trails in your area.
Masters Event 1,"For time:
8 deadlifts
40 GHD sit-ups
80 double-unders
4 rope climbs
80 wall-ball shots
4 rope climbs
80 double-unders
40 GHD sit-ups
8 deadlifts"
Squat clean 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,"""How Seattle's Morghan King qualified for the 2016 U.S. Olympic weightlifting team,"" The Seattle Times."
"For time:
100 chest-to-bar pull-ups
100 handstand push-ups
100 GHD sit-ups
100 one-legged squats, alternating",Post time to comments.
"5 rounds of:
Row 1,000 meters
Rest 3 minutes",Add times for all 5 rowing efforts and post total to comments.
Monti,"5 rounds for time of:
50 step-ups with 45-lb. barbell, 20-in. box
135-lb. cleans, 15 reps
50 step-ups with 45-lb. barbell, 20-in. box
135-lb. snatches, 10 reps"
Rest Day,"""Rodney Mullen Debuts New Tricks, Captured in 360 Degrees,"" Vogue."
Angie,"For time:
100 pull-ups
100 push-ups
100 sit-ups
100 squats"
"Complete as many rounds as possible in 7 minutes of:
205-lb. snatch, 1 rep
205-lb. clean and jerk, 3 reps",Post rounds completed to comments.
"Complete as many rounds as possible in 20 minutes of:
Run 400 meters
25 kettlebell swings, 1.5 pood
25 GHD sit-ups",Post rounds completed to comments.
Rest Day,"""Why we can't stop eating unhealthy foods,"" TEDMED."
"For time:
185-lb. weighted lunges, 20 steps
20 muscle-ups
200-ft. handstand walk
185-lb. hang power cleans, 20 reps
20 box jumps, 36-inch box
20 handstand push-ups to 6-inch deficit
185-lb. front squats, 20 reps",Post time to comments.
"7 rounds for time of:
95-lb. sumo deadlift high pulls, 10 reps
10 ring dips",Post time to comments.
Front squat 3-3-3-3-3 reps,Post loads to comments.
Rest Day,"""Night Train with Wyatt Cenac."""
"Complete as many rounds as possible in 7 minutes of:
25 double-unders
5 burpee bar muscle-ups",Jump to a bar at least 6 inches beyond your reach.
Griff,"For time:
Run 800 meters
Run 400 meters backwards
Run 800 meters
Run 400 meters backwards"
TJ,"For time:
185-lb. bench presses, 10 reps
10 strict pull-ups
135-lb. thrusters, max set"
Rest Day,"""Coke, Pepsi, and the Obesity Time Bomb,"" Epoch Times."
Mr. Joshua,"5 rounds for time of:
Run 400 meters
30 GHD sit-ups
250-lb. deadlifts, 15 reps"
"With a pair of 45-lb. dumbbells, 4 rounds for time of:
50-meter weighted lunge
350-meter farmers carry",Post time to comments.
Hang squat snatch 3-3-3-3-3-3-3 reps,Post loads to comments.
Rest Day,"""Millennials May Be Losing Their Grip,"" NPR."
"5 rounds for time of:
50 double-unders
45-lb. dumbbell squat cleans, 15 reps
15 burpees
50 double-unders
Rest 2 minutes",Post time to comments.
"For time:
75 pull-ups
Row 500 meters
75 push-ups
Row 500 meters
50 pull-ups
Row 500 meters
50 push-ups
Row 500 meters
25 pull-ups
Row 500 meters
25 push-ups
Row 500 meters",Post time to comments
"Complete as many reps as possible in 20 minutes of:
135-lb. clean and jerks, 15 reps
Rest 1 minute
155-lb. clean and jerks, 15 reps
Rest 1 minute
185-lb. clean and jerks, 15 reps
Rest 1 minute
225-lb. clean and jerks, 15 reps
Rest 1 minute
245-lb. clean and jerks, 15 reps
Rest 1 minute
265-lb. clean and jerks, 15 reps",Compare to 150911.
Rest Day,"""High cholesterol 'does not cause heart disease' new research finds, so treating with statins a 'waste of time',"" The Telegraph."
"5 rounds of:
2 minutes of triple-unders
1 minute of handstand walking
Rest 2 minutes",Post reps completed and distance walked for each interval to comments.
Back squat 3-3-3-3-3 reps,Post loads to comments.
"4 rounds for time of:
135-lb. sumo deadlift high pulls, 20 reps
30 GHD sit-ups",Post time to comments.
Rest Day,"""Philadelphia Becomes 1st Major U.S. City To Pass A Tax On Soda,"" NPR."
Mary XXX,"Complete as much as possible in 20 minutes of:
10 handstand push-ups
20 single-leg squats, alternating
30 pull-ups
15 handstand push-ups
30 single-leg squats, alternating
45 pull-ups
20 handstand push-ups
40 single-leg squats, alternating
60 pull-ups
25 handstand push-ups
50 single-leg squats, alternating
75 pull-ups
30 handstand push-ups
60 single-leg squats, alternating
90 pull-ups"
"Inverse Tabata shoulder press, 155 lb.
Inverse Tabata front squat, 245 lb.
Inverse Tabata deadlift, 365 lb.",The Inverse Tabata interval is 10 seconds of work followed by 20 seconds of rest for 8 intervals. Rest 2 minutes between exercises.
Kelly,"5 rounds for time of:
Run 400 meters
30 box jumps, 24-inch box
30 wall-ball shots, 20-lb. Ball"
Rest Day,"""The Greek Hero at the Gym,"" The Wall Street Journal."
J.T.,"21-15-9 reps for time of:
Handstand push-ups
Ring dips
Push-ups"
1775,"Complete as many rounds as possible in 60 minutes of:
17 power cleans, 135 lb.
75 squats
Unload the barbell and carry it 200 meters away.
Return to the plates and then carry one forward to the barbell.
Retrieve the second plate, carry it forward and reload the barbell for the next round."
"On the C2 rower:
Pull a sub-1:25/500-m pace for as long as possible
Rest 3 minutes
Pull a sub-1:30/500-m pace for as long as possible
Rest 3 minutes
Pull a sub-1:35/500-m pace for as long as possible
Rest 3 minutes
Pull a sub-1:30/500-m pace for as long as possible
Rest 3 minutes
Pull a sub-1:25/500-m pace for as long as possible",Post time maintained at each pace to comments. Scale split times as needed.
Rest Day,"""Few Things Bring Together Vets And Civilians Like Misery Of CrossFit,"" Task and Purpose."
"5 rounds for max reps of:
1 ½ body-weight deadlifts
Dips",Post reps for both exercises in all rounds.
"21-15-9 reps for time of:
115-lb. hang squat cleans
Chest-to-bar pull-ups",Post time to comments.
"Shoulder press 1-1-1-1-1 reps
Push press 3-3-3-3-3 reps
Push jerk 5-5-5-5-5 reps",Post loads to comments.
Rest Day,
